id,item_type,price,color,image_URL,fit,occasion,brand,pattern,fabric,length
,jeans,1079,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7139512/2018/9/21/52ac3343-f859-4ac7-92f1-3d2451fe92951537510763979-Roadster-Men-Black-Skinny-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-1421537510763791-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,899,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7278579/2019/1/22/bfa52983-c86c-44e2-8b24-f78996a048c11548158850180-Roadster-Men-Jeans-1101548158848668-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,749,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7278576/2019/1/22/34757eb7-979a-4ba2-85bd-de19443701941548158834342-Roadster-Men-Jeans-2061548158832912-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,3199,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8536473/2019/1/31/866060fc-08ea-44d8-9541-54e267f427c21548933271474-Lee-Men-Blue-Skinny-Fit-Low-Rise-Low-Distress-Stretchable-Je-1.jpg",Skinny Fit,Casual,Lee,None,Cotton,Regular
,jeans,4999,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8391591/2019/1/29/0089dc22-7fe3-41dd-a31a-cd98b6cc73161548761337423-AMERICAN-EAGLE-OUTFITTERS-Men-Jeans-541548761336898-1.jpg",Skinny Fit,Casual,AMERICAN EAGLE OUTFITTERS,None,Viscose Rayon,Regular
,jeans,3199,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8478639/2019/2/1/3df18df3-0e25-4e91-b56b-1630ae61639f1549016938338-Killer-Mens-Casual-Jeans-3751549016937199-1.jpg",Slim Fit,Casual,Killer,None,Polyester,Regular
,jeans,1049,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7116558/2018/8/9/ab71ca7d-a290-45af-8fba-46688fbbc58e1533806816374-na-9671533806816139-1.jpg",Skinny Fit,Casual,Red Tape,None,Viscose Rayon,Regular
,jeans,1399,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1972837/2017/7/14/11500027570838-HERENOW-Men-Jeans-5761500027570705-1.jpg",Slim Fit,Casual,HERE&NOW,None,Viscose Rayon,Regular
,jeans,1049,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7178620/2018/8/17/3118780b-fab3-48bd-9590-d6506b1c8bce1534486970655-na-2211534486970441-1.jpg",Skinny Fit,Casual,Red Tape,None,Cotton,Regular
,jeans,949,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2272201/2018/2/8/11518074454367-HERENOW-Men-Black-Tapered-Fit-Mid-Rise-Stretchable-Jeans-6121518074454181-1.jpg",Tapered Fit,Casual,HERE&NOW,None,Viscose Rayon,Cropped
,jeans,2399,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8591359/2019/2/18/670db1a1-1b8f-4c08-81ba-4267575144261550485840771-United-Colors-of-Benetton-Men-Black-Skinny-Fit-Mid-Rise-Clea-1.jpg",Skinny Fit,Casual,United Colors of Benetton,None,Viscose Rayon,Regular
,jeans,849,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2883486/2018/4/7/11523091756806-HIGHLANDER-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-9901523091756598-1.jpg",Slim Fit,Casual,HIGHLANDER,None,Cotton,Regular
,jeans,2399,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8424761/2019/2/4/10a78f6a-2f69-4af1-80db-8b485dc796ed1549265299651-WROGN-Men-Jeans-6861549265297355-1.jpg",Skinny Fit,Casual,WROGN,None,Viscose Rayon,Regular
,jeans,1299,,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1729296/2018/5/10/0aae614d-23f9-4ba3-8936-912119ee1cf91525936618001-WROGN-Men-Navy-Slim-Fit-Stretchable-Jeans-2591525936617811-1.jpg",Slim Fit,Casual,WROGN,None,Viscose Rayon,Regular
,jeans,779,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7278582/2019/1/22/54bdc6ae-8899-49dd-96f0-a5e505ae26991548156478722-Roadster-Men-Jeans-8681548156476803-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,1199,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1502347/2016/11/9/11478681818086-WROGN-Men-Black-Slim-Fit-Mid-Rise-Clean-Look-Jeans-4371478681817668-1.jpg",Slim Fit,Casual,WROGN,None,Viscose Rayon,Regular
,jeans,1019,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7255201/2019/2/19/aebf2e8f-fc72-4545-959b-3933c95a978f1550561827221-Mast--Harbour-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretc-1.jpg",Skinny Fit,Casual,Mast & Harbour,None,Viscose Rayon,Regular
,jeans,1299,Grey,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2338186/2018/4/20/11524217101327-WROGN-Men-Grey-Skinny-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-731524217101168-1.jpg",Skinny Fit,Casual,WROGN,None,Viscose Rayon,Regular
,jeans,899,Navy Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7278580/2019/1/22/962869a8-9a17-4885-9fd5-e2955b8fa0881548158858171-Roadster-Men-Jeans-9481548158857028-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,1019,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7255271/2019/2/19/3faf74ff-e3c2-4bdf-ae52-5c64f65ea7511550561857479-Mast--Harbour-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretc-1.jpg",Skinny Fit,Casual,Mast & Harbour,None,Viscose Rayon,Regular
,jeans,1049,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7116569/2018/8/9/16922656-50ac-4366-995f-447ccb73fb6a1533806877466-na-6931533806877295-1.jpg",Skinny Fit,Casual,Red Tape,None,Viscose Rayon,Regular
,jeans,3799,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8333301/2019/2/6/45cf4ed0-f840-4883-9181-d6fb60ef6c491549444447680-Pepe-Jeans-Men-Jeans-21549444445812-1.jpg",Slim Fit,Casual,Pepe Jeans,None,Viscose Rayon,Cropped
,jeans,7999,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7599097/2019/1/29/fb857282-38b2-4318-9335-afd189d6f7051548762850074-AMERICAN-EAGLE-OUTFITTERS-Men-Jeans-1471548762849536-1.jpg",Slim Fit,Casual,AMERICAN EAGLE OUTFITTERS,None,Viscose Rayon,Regular
,jeans,909,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2296011/2018/7/24/4839f790-c5d5-4b1c-89d0-284d6060b4281532415558202-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-6271532415557991-1.jpg",Slim Fit,Casual,Roadster,None,Cotton,Regular
,jeans,899,Navy Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7278584/2019/1/22/9dae1442-b7ce-4df3-ae70-c0a4cf9e12cd1548156482451-Roadster-Men-Jeans-7061548156481067-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,1319,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7807135/2018/12/10/ca81bfba-1b26-4581-b7a4-b0740446778d1544440619319-US-Polo-Assn-Denim-Co-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Loo-1.jpg",Skinny Fit,Casual,U.S. Polo Assn. Denim Co.,None,Viscose Rayon,Regular
,jeans,1559,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2032838/2017/9/11/11505124411419-WROGN-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-3881505124411139-1.jpg",Skinny Fit,Casual,WROGN,None,Viscose Rayon,Regular
,jeans,1699,Navy Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7733656/2019/2/7/66bb26aa-cefc-4254-9122-358a81c94f501549519817186-Roadster-Men-Jeans-7031549519815815-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Cropped
,jeans,2999,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8391573/2019/1/29/c5c4be83-0f09-4d91-9970-477e750364411548761237016-AMERICAN-EAGLE-OUTFITTERS-Men-Jeans-761548761236260-1.jpg",Super Skinny Fit,Casual,AMERICAN EAGLE OUTFITTERS,None,Viscose Rayon,Cropped
,jeans,1019,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/5669104/2018/6/12/a5bab43f-58c4-4a24-8e11-236cbcaf45f61528799134313-Roadster-Men-Jeans-171528799134149-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Cropped
,jeans,1499,Navy Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7733684/2019/2/8/4ebee436-d90e-41cc-aa5a-471aff14ac881549606229209-Roadster-Men-Navy-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretc-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,1019,Navy Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7255268/2019/2/19/4b945e12-f826-4d2a-bfc7-93b7c0993bed1550561853963-Mast--Harbour-Men-Navy-Blue-Skinny-Fit-Mid-Rise-Clean-Look-S-1.jpg",Skinny Fit,Casual,Mast & Harbour,None,Viscose Rayon,Regular
,jeans,1049,Navy Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7116549/2018/8/9/7960254e-22e4-442c-b74a-dada81dfaeee1533806729461-na-9231533806729259-1.jpg",Skinny Fit,Casual,Red Tape,None,Viscose Rayon,Regular
,jeans,1079,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2425786/2018/3/22/11521710079400-Roadster-Men-Black-Skinny-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-1011521710079148-1.jpg",Skinny Fit,Casual,Roadster,None,Cotton,Regular
,jeans,799,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2173984/2017/12/5/11512464434663-HIGHLANDER-Men-Black-Slim-Tapered-Fit-Clean-Look-Ankle-Length-Stretchable-Jeans-4081512464434521-1.jpg",Tapered Fit,Casual,HIGHLANDER,None,Cotton,Regular
,jeans,2199,Olive,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8479419/2019/2/6/5940243a-196e-4e8a-ab0f-7322016c1e8a1549437614629-Flying-Machine-Men-Olive-Green-Skinny-Fit-Mid-Rise-Clean-Loo-1.jpg",Skinny Fit,Casual,Flying Machine,None,Viscose Rayon,Regular
,jeans,1899,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8371327/2019/1/30/118fa00d-3ad1-4ef6-89d3-fd1dd21eb5fd1548848351979-Roadster-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretchable-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,6499,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7158538/2019/1/10/c9bd8d21-8599-4f3d-9bdf-2b71c057653b1547111181448-Calvin-Klein-Jeans-Men-Jeans-8811547111179804-1.jpg",Slim Fit,Casual,Calvin Klein Jeans,None,Cotton,Regular
,jeans,849,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/3880929/2018/3/27/11522150779575-HIGHLANDER-Men-Blue-Tapered-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-5031522150779414-1.jpg",Tapered Fit,Casual,HIGHLANDER,None,Viscose Rayon,Regular
,jeans,679,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/5814352/2018/5/10/061e21d1-d80d-4cca-a36b-a2839a7b91411525933401581-NA-6491525933401339-1.jpg",Tapered Fit,Casual,HIGHLANDER,None,Viscose Rayon,Regular
,jeans,1049,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7116571/2018/8/9/612c82c4-1741-46a8-9d24-2f56fcd9925e1533807687670-na-9671533807687459-1.jpg",Slim Fit,Casual,Red Tape,None,Viscose Rayon,Regular
,jeans,5849,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7158509/2018/11/19/19ef0fc1-2603-48f5-a54d-40e4f1a443a31542609492948-Calvin-Klein-Jeans-Men-Blue-Skinny-Fit-Mid-Rise-Low-Distress-Stretchable-Jeans-1341542609492743-1.jpg",Skinny Fit,Casual,Calvin Klein Jeans,None,Viscose Rayon,Regular
,jeans,1439,Grey,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2338117/2018/6/8/025567e2-fbd4-458c-9a9e-b6bf87c93ea21528439352858-WROGN-Men-Jeans-7621528439351309-1.jpg",Slim Fit,Casual,WROGN,None,Cotton,Regular
,jeans,1019,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7330639/2018/12/5/f8aced06-6255-48ac-a160-6fdd235a926a1543996940464-Mast--Harbour-Men-Jeans-6791543996938952-1.jpg",Skinny Fit,Casual,Mast & Harbour,None,Viscose Rayon,Regular
,jeans,849,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7255224/2019/2/19/335a9dba-2b0c-48c7-8851-cff0d138725e1550561843594-Mast--Harbour-Men-Blue-Skinny-Fit-Mid-Rise-Slash-Knee-Stretc-1.jpg",Skinny Fit,Casual,Mast & Harbour,None,Viscose Rayon,Regular
,jeans,1259,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2150875/2017/11/3/11509702847223-HERENOW-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-3871509702847086-1.jpg",Slim Fit,Casual,HERE&NOW,None,Cotton,Regular
,jeans,1439,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1758520/2017/3/9/11489048805059-WROGN-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-1581489048804772-1.jpg",Slim Fit,Casual,WROGN,None,Viscose Rayon,Regular
,jeans,1299,Grey,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1729330/2017/4/3/11491212543608-WROGN-Men-Grey-Skinny-Fit-Mid-Rise-Clean-Look-Jeans-2761491212543347-1.jpg",Skinny Fit,Casual,WROGN,None,Viscose Rayon,Regular
,jeans,4543,Navy Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7227955/2018/9/19/7d1b5377-7a3b-4bc9-800a-56809b0d599e1537349340527-GAS-Men-Navy-Blue-Slim-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-8501537349340363-1.jpg",Slim Fit,Casual,GAS,None,Viscose Rayon,Regular
,jeans,779,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7243639/2018/11/12/c5871260-eae5-4a30-975c-679ddbdd16591542020711292-Roadster-Men-Black-Slim-Fit-Mid-Rise-Clean-Look-Jeans-1321542020711019-1.jpg",Slim Fit,Casual,Roadster,None,Cotton,Regular
,jeans,899,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7278578/2019/1/22/6d6ba064-6fe3-4eed-9299-2509a5ce645d1548158877626-Roadster-Men-Jeans-491548158876467-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,2999,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8213437/2019/2/6/f48b9f1d-5ae8-46d1-9c4d-3382fffd4ab71549434616920-Louis-Philippe-Jeans-Men-Blue-Slim-Fit-Low-Rise-Clean-Look-S-1.jpg",Slim Fit,Casual,Louis Philippe Jeans,None,Viscose Rayon,Regular
,jeans,919,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2055964/2017/8/31/11504179180151-HERENOW-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-121504179179936-1.jpg",Skinny Fit,Casual,HERE&NOW,None,Viscose Rayon,Regular
,jeans,5199,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7158556/2018/11/19/c26718a1-1a39-4864-bafd-0e5b8045da121542608616535-Calvin-Klein-Jeans-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-9561542608616329-1.jpg",Slim Fit,Casual,Calvin Klein Jeans,None,Viscose Rayon,Regular
,jeans,899,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7678841/2018/12/18/9e79a7c7-e8b7-49a3-970b-e2ef5e1470411545115164148-Roadster-Men-Jeans-1221545115163490-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,1019,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7330638/2019/2/19/91ac6a93-1274-4e91-8bad-fc7086de44d21550561886547-Mast--Harbour-Men-Blue-Tapered-Fit-Mid-Rise-Clean-Look-Stret-1.jpg",Tapered Fit,Casual,Mast & Harbour,None,Viscose Rayon,Regular
,jeans,1019,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7330634/2018/12/5/1a04a0d8-8de2-47ee-865d-4f757cc204951543996780672-Mast--Harbour-Men-Jeans-2341543996779536-1.jpg",Skinny Fit,Casual,Mast & Harbour,None,Viscose Rayon,Regular
,jeans,899,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/4451366/2018/6/8/cdf9690b-0720-41ad-b7d8-287487e1e6961528435279542-Roadster-Men-Jeans-4321528435278147-1.jpg",Slim Fit,Casual,Roadster Fast and Furious,None,Viscose Rayon,Regular
,jeans,3199,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8536787/2019/1/31/768cc47e-5e3b-4675-956d-0d39733127161548914527252-Lee-Men-Blue-Skinny-Fit-Low-Rise-Clean-Look-Stretchable-Jean-1.jpg",Skinny Fit,Casual,Lee,None,Cotton,Regular
,jeans,8449,White,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7158571/2018/11/22/0349a9ad-e590-4301-8189-4b8f3319c8f11542884645564-Calvin-Klein-Jeans-Men-White-Skinny-Fit-Mid-Rise-Clean-Look--1.jpg",Skinny Fit,Casual,Calvin Klein Jeans,None,Viscose Rayon,Regular
,jeans,1199,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2117713/2018/5/22/2b02eb28-757e-45ac-9c5a-b7ed77966cb61526985959297-WROGN-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-7841526985957689-1.jpg",Slim Fit,Casual,WROGN,None,Viscose Rayon,Regular
,jeans,1199,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1502346/2016/11/9/11478693047888-WROGN-Men-Blue-Slim-Fit-Jeans-31478693047552-1.jpg",Slim Fit,Casual,WROGN,None,Viscose Rayon,Regular
,jeans,1099,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/6973507/2019/1/8/f20f11ab-0a78-4c18-808c-ab3ff66b6fcb1546942654799-HRX-by-Hrithik-Roshan-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Loo-1.jpg",Skinny Fit,Casual,HRX by Hrithik Roshan,None,Viscose Rayon,Regular
,jeans,899,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1573560/2016/10/13/11476341450124-Rodamo-Men-Black-Slim-Fit-Mid-Rise-Clean-Look-Jeans-4001476341449969-1.jpg",Slim Fit,Casual,Rodamo,None,Cotton,Regular
,jeans,899,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7733673/2019/2/13/9bbf5ecf-e212-46c0-b721-b49cee53e4011550043640149-Roadster-Men-Jeans-6891550043637999-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,1259,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2150874/2017/10/25/11508931348496-HERENOW-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-7011508931348385-1.jpg",Slim Fit,Casual,HERE&NOW,None,Viscose Rayon,Regular
,jeans,599,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7678863/2018/12/17/650c5d1e-307d-47d5-9cb4-943d74f162661545031319760-Roadster-Men-Jeans-411545031315028-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,1019,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7255210/2019/2/19/38619784-6859-44b7-b9ca-e657f8f59da51550561835773-Mast--Harbour-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretc-1.jpg",Skinny Fit,Casual,Mast & Harbour,None,Viscose Rayon,Regular
,jeans,1299,Blue,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2477061/2018/4/20/11524208777971-WROGN-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-7131524208777783-1.jpg",Skinny Fit,Casual,WROGN,None,Viscose Rayon,Regular
,jeans,899,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7139505/2018/9/18/2bc19628-35ef-44d6-9050-c9b7070f5a9d1537269640110-Roadster-Men-Jeans-8821537269639837-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
,jeans,679,Grey,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/3880878/2018/10/12/aee315f6-f6ba-4a3b-af45-30efb86976a41539346982683-HIGHLANDER-Men-Grey-Slim-Fit-Mid-Rise-Clean-Look-Stretchable-1.jpg",Slim Fit,Casual,HIGHLANDER,None,Viscose Rayon,Regular
,jeans,959,Black,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/5669114/2018/6/11/9647f268-93f0-406a-8cd6-024287f621ca1528706517591-Roadster-Men-Jeans-1171528706517494-1.jpg",Skinny Fit,Casual,Roadster,None,Viscose Rayon,Regular
